 ----------------------------------------------------------------------
 ----------          Welcome to Topology Optimizer          -----------
 ----------------------------------------------------------------------
                                                                       
       Version 2020 R1 (Build: 154) from 20191203                       
                                                                       
       Copyright 2020 ANSYS Inc. All Rights Reserved               
                                                                       
 ----------------------------------------------------------------------
 
       Execution time: Fri Oct  2 09:02:13 2020

 ----------------------------------------------------------------------
 
   Parameter setting:
      solver                   = Scpip
      ansys version            = 2020 R1
      design elements          = OptimizationRegionElements.dat
      feedersystem list:
       - Static system 'Static42' with id 42: 1 load case(s) at t = 1
      penalty parameter        = 3
      initial response scaling = yes
      minimum member size      = 0
      maximum member size      = 0
      minimum density          = 0.001
      restart information      = final
      mapdl ncnv               = 1e+12
      maximum iteration        = 500
      acc                      = 0.001
      units                    = MPA
      output frequency         = 1
      max intermediate files   = 500
      objective 1              = total mass [1]
      constraint 1             = global stress for load step number 1 of feeder system 'Static42' with upper bound 100
      method                   = SCP
      acc scp                  = 1e-06
      version scp              = 402
      cut off in scp           = 1
      linear inequalities remain in active set in scp = selected always
      initial penalty scp      = 1
      asymptote strategy       = program controlled

 ----------------------------------------------------------------------
   Start generating constant data...
   ...done
   Start generating tree...
   ...finished.
   Start generating element neighborhood...
    10 Percent done
    20 Percent done
    30 Percent done
    40 Percent done
    50 Percent done
    60 Percent done
    70 Percent done
    80 Percent done
    90 Percent done
   100 Percent done
   ...finished.
   Starting Ansys...
   Asymptote strategy applied: adaptive
 
  INITIAL SUMMARY
  ---------------
  Objective(s):
    [  1] Name: Objective
          Value : 1.70502e-01
 
  Constraint(s):
    [  1] Name: Global Von-Mises Stress Constraint
                             Value: 5.61551e+02 <= UB: 1.00000e+02  Deviation: 461.551 % NOTE: This is an approximation to the actual value: 518.857. The bound is not satisfied.
 
  Iter :  number of iterations
  #LS  :  number of line search iterations
  #ME  :  number of model evaluations

                                         max relative
                                         deviation of
                         objective       constraints     convergence
   Iter  #LS     #ME     measurement     in %            criterion
   Restart performed 
    186    2     280     9.03325e-01     3.31636e+02     3.31649e+00
    187    3     283     9.03839e-01     3.31612e+02     3.31669e+00
    188    3     286     9.03817e-01     3.31596e+02     3.31598e+00
    189    2     288     9.02919e-01     3.31418e+02     3.31517e+00
    190    2     290     9.03518e-01     3.31405e+02     3.31471e+00
    191    1     291     9.03206e-01     3.30563e+02     3.30597e+00
    192    1     292     9.03373e-01     3.30452e+02     3.30470e+00
    193    1     293     9.02462e-01     3.29763e+02     3.29863e+00
    194    1     294     9.03856e-01     3.29596e+02     3.29750e+00
    195    2     296     9.03341e-01     3.29569e+02     3.29626e+00
    196    1     297     9.03518e-01     3.29562e+02     3.29582e+00
   Restart performed 
    197    1     298     9.03276e-01     3.30895e+02     3.30922e+00
    198    3     301     9.03417e-01     3.30882e+02     3.30898e+00
    199    3     304     9.03585e-01     3.30881e+02     3.30899e+00
    200    2     306     9.02809e-01     3.30580e+02     3.30665e+00
    201    2     308     9.03565e-01     3.30550e+02     3.30634e+00
    202    2     310     9.03516e-01     3.30548e+02     3.30553e+00
    203    2     312     9.03571e-01     3.30546e+02     3.30552e+00
   Restart performed 
    204    2     314     9.03621e-01     3.31516e+02     3.31522e+00
    205    4     318     9.03652e-01     3.31516e+02     3.31519e+00
    206    3     321     9.03809e-01     3.31515e+02     3.31533e+00
    207    2     323     9.02844e-01     3.31090e+02     3.31197e+00
    208    2     325     9.03633e-01     3.31062e+02     3.31149e+00
    209    1     326     9.03071e-01     3.30545e+02     3.30607e+00
    210    1     327     9.03442e-01     3.30453e+02     3.30494e+00
    211    1     328     9.02222e-01     3.29995e+02     3.30130e+00
    212    1     329     9.03516e-01     3.29855e+02     3.29999e+00
    213    2     331     9.02789e-01     3.29825e+02     3.29905e+00
    214    1     332     9.03365e-01     3.29798e+02     3.29862e+00
   Restart performed 
    215    2     334     9.03193e-01     3.31483e+02     3.31502e+00
    216    3     337     9.03387e-01     3.31481e+02     3.31503e+00
    217    4     341     9.03438e-01     3.31480e+02     3.31486e+00
    218    1     342     8.96637e-01     3.31258e+02     3.32010e+00
    219    1     343     9.07519e-01     3.29380e+02     3.30594e+00
    220    2     345     9.02575e-01     3.28339e+02     3.28884e+00
    221    2     347     9.02847e-01     3.28062e+02     3.28092e+00
   Restart performed 
    222    1     348     9.02513e-01     3.35823e+02     3.35860e+00
    223    2     350     9.02614e-01     3.35547e+02     3.35558e+00
    224    2     352     9.02332e-01     3.34835e+02     3.34866e+00
    225    2     354     9.01897e-01     3.33744e+02     3.33792e+00
    226    2     356     9.03038e-01     3.33450e+02     3.33577e+00
    227    1     357     9.01874e-01     3.32352e+02     3.32481e+00
    228    1     358     9.03469e-01     3.32293e+02     3.32469e+00
    229    1     359     9.01685e-01     3.31520e+02     3.31717e+00
    230    1     360     9.02938e-01     3.31440e+02     3.31579e+00
    231    1     361     9.01597e-01     3.31212e+02     3.31361e+00
    232    1     362     9.02711e-01     3.31157e+02     3.31281e+00
    233    1     363     9.01537e-01     3.30985e+02     3.31115e+00
